,Year,HH_LGA_ID,HH_LGA_NAME,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE (km),TRIP_AVG_TIME (mins)
437,2024,6350,Penrith,public transport*,62000,8.1,8.8,1512000,21.0,24.5,34.4
438,2024,6350,Penrith,vehicle driver,375000,49.3,53.3,4297000,59.6,11.5,21.4
439,2024,6350,Penrith,vehicle passenger,150000,19.7,21.4,1239000,17.2,8.2,17.2
440,2024,6350,Penrith,walk linked,57000,7.5,,32000,0.4,0.6,8.0
441,2024,6350,Penrith,walk only,95000,12.5,13.5,76000,1.0,0.8,11.5
442,2024,6400,Port Stephens,other**,2000,0.8,0.9,12000,0.4,6.2,23.3
443,2024,6400,Port Stephens,public transport*,8000,3.4,3.5,115000,4.1,14.2,28.7
444,2024,6400,Port Stephens,vehicle driver,160000,67.9,69.4,2343000,82.7,14.7,19.5
445,2024,6400,Port Stephens,vehicle passenger*,35000,14.8,15.1,342000,12.1,9.8,16.9
446,2024,6400,Port Stephens,walk linked*,5000,2.2,,5000,0.2,0.9,17.5
447,2024,6400,Port Stephens,walk only*,26000,10.8,11.1,14000,0.5,0.6,10.4
448,2024,6550,Randwick,other*,24000,3.9,4.8,100000,4.4,4.2,18.7
449,2024,6550,Randwick,public transport,84000,13.7,16.7,465000,20.2,5.5,19.9
450,2024,6550,Randwick,vehicle driver,208000,33.8,41.3,1195000,51.8,5.7,15.6
451,2024,6550,Randwick,vehicle passenger,66000,10.7,13.1,374000,16.2,5.7,17.8
452,2024,6550,Randwick,walk linked,112000,18.2,,71000,3.1,0.6,9.0
453,2024,6550,Randwick,walk only,121000,19.7,24.1,101000,4.4,0.8,13.3
454,2024,6700,Ryde,other*,10000,1.6,1.9,84000,2.3,8.5,29.5
455,2024,6700,Ryde,public transport,73000,11.6,14.2,834000,22.7,11.4,25.4
456,2024,6700,Ryde,vehicle driver,252000,40.1,48.9,2061000,56.1,8.2,18.4
457,2024,6700,Ryde,vehicle passenger,88000,14.0,17.0,556000,15.1,6.3,14.3
458,2024,6700,Ryde,walk linked,113000,18.0,,73000,2.0,0.6,8.6
459,2024,6700,Ryde,walk only,93000,14.7,18.0,65000,1.8,0.7,11.5
460,2024,6900,Shellharbour,other**,3000,1.2,1.2,24000,0.8,8.5,26.4
461,2024,6900,Shellharbour,public transport**,10000,4.2,4.3,212000,7.6,21.5,41.9
462,2024,6900,Shellharbour,vehicle driver,131000,55.6,57.5,2159000,77.5,16.5,20.7
463,2024,6900,Shellharbour,vehicle passenger*,53000,22.6,23.3,364000,13.1,6.9,12.3
464,2024,6900,Shellharbour,walk linked*,8000,3.3,,4000,0.1,0.5,6.0
465,2024,6900,Shellharbour,walk only*,31000,13.2,13.7,24000,0.9,0.8,12.8
466,2024,6950,Shoalhaven,other*,8000,2.2,2.3,26000,0.7,3.2,12.8
467,2024,6950,Shoalhaven,public transport**,19000,5.3,5.6,251000,7.3,13.1,29.6
468,2024,6950,Shoalhaven,vehicle driver,197000,53.8,56.7,2439000,70.9,12.4,17.0
469,2024,6950,Shoalhaven,vehicle passenger,63000,17.2,18.1,669000,19.5,10.6,15.3
470,2024,6950,Shoalhaven,walk linked*,18000,5.1,,5000,0.1,0.2,8.1
471,2024,6950,Shoalhaven,walk only,60000,16.4,17.3,49000,1.4,0.8,13.6
472,2024,7100,Strathfield,public transport*,51000,19.6,24.7,464000,30.5,9.1,19.0
473,2024,7100,Strathfield,vehicle driver,77000,29.4,37.2,655000,43.1,8.5,21.3
474,2024,7100,Strathfield,vehicle passenger*,57000,21.9,27.7,354000,23.3,6.2,17.3
475,2024,7100,Strathfield,walk linked*,54000,20.8,,33000,2.2,0.6,8.2
476,2024,7100,Strathfield,walk only*,22000,8.3,10.4,15000,1.0,0.7,11.2
477,2024,7150,Sutherland Shire,other,11000,1.0,1.1,82000,0.9,7.2,19.9
478,2024,7150,Sutherland Shire,public transport,78000,7.0,7.7,1398000,15.5,17.9,30.5
479,2024,7150,Sutherland Shire,vehicle driver,517000,46.1,51.1,5227000,58.0,10.1,19.5
480,2024,7150,Sutherland Shire,vehicle passenger,240000,21.4,23.7,2077000,23.1,8.7,17.0
481,2024,7150,Sutherland Shire,walk linked,110000,9.8,,77000,0.9,0.7,9.6
482,2024,7150,Sutherland Shire,walk only,166000,14.8,16.4,147000,1.6,0.9,13.7
483,2024,7200,Sydney,other*,56000,5.3,6.7,257000,8.2,4.6,17.5
484,2024,7200,Sydney,public transport,127000,11.9,15.0,879000,28.0,6.9,19.2
